"interaction_pairs","interaction","value","scram_mean","scram_sd","p_val","cell_type1","cell_type2","interact_ratio","p_val_adj"
"Myoepithelial_mCAF-patient4-specific","ADAM10_AXL",0.54627342134728,0.179025259749379,0.111537268942298,0.000496319247842325,"Myoepithelial","mCAF-patient4-specific",3.05137622541098,0.0168207133702706
"T-cells-CD4-Treg_mCAF-patient4-specific","ADAM10_AXL",0.676685728323968,0.20902613840809,0.12668298767493,0.000111435382260328,"T-cells-CD4-Treg","mCAF-patient4-specific",3.23732588410952,0.00482660850215704
"mCAF-plastic_Cancer-Basal/Cycl-pat4","ADAM12_ITGA9",0.467109741891144,0.124799801069017,0.117363793528561,0.00176902253265487,"mCAF-plastic","Cancer-Basal/Cycl-pat4",3.74287248769587,0.046416076395382
"mCAF-patient4-specific_LumProgenitors-shared","ADAM12_ITGA9",0.847724315109779,0.172511630717197,0.216382741028795,0.000902858317423649,"mCAF-patient4-specific","LumProgenitors-shared",4.91401253112885,0.0273273811029885
"mCAF-classical_LumProgenitors-Cycl-pat4","ADAM12_ITGA9",0.869277848622446,0.0772116343847771,0.0692772425116961,0,"mCAF-classical","LumProgenitors-Cycl-pat4",11.2583790713519,0
"mCAF-remodeling_LumProgenitors-Cycl-pat4","ADAM12_ITGA9",0.908606885700756,0.186453458016858,0.184082157589738,4.37274402171894e-05,"mCAF-remodeling","LumProgenitors-Cycl-pat4",4.87310289315528,0.00217138816271907
"mCAF-patient4-specific_LumProgenitors-Cycl-pat4","ADAM12_ITGA9",0.918192375961735,0.144230412008897,0.252165553578564,0.00107294421508031,"mCAF-patient4-specific","LumProgenitors-Cycl-pat4",6.36614957395458,0.0313930362019596
"mCAF-classical_mCAF-classical","ADAM12_ITGA9",0.788427279203349,0.0929807998071796,0.142822253034228,5.59930033783296e-07,"mCAF-classical","mCAF-classical",8.47946329606071,4.48006905188768e-05
"mCAF-patient4-specific_mCAF-classical","ADAM12_ITGA9",0.837341806542637,0.103691473283247,0.0882251591970796,0,"mCAF-patient4-specific","mCAF-classical",8.07531979274064,0
"mCAF-patient4-specific_Myoepithelial","ADAM12_ITGA9",0.913134743709886,0.145246333857365,0.239106311111369,0.000660234347481303,"mCAF-patient4-specific","Myoepithelial",6.28680063351274,0.0212170325150911
"mCAF-classical_Macrophages-immunoregulatory","ADAM12_ITGA9",0.912693275789689,0.11124111085376,0.117786461069923,5.07771602542562e-12,"mCAF-classical","Macrophages-immunoregulatory",8.20464007222593,8.63797692347573e-10
"apCAF-classical_Macrophages-immunoregulatory","ADAM12_ITGA9",0.501763506088977,0.121994634257182,0.118203489593749,0.000657147957823345,"apCAF-classical","Macrophages-immunoregulatory",4.11299651943044,0.0211416881373781
"mCAF-remodeling_Macrophages-immunoregulatory","ADAM12_ITGA9",0.952022312867998,0.149324648208848,0.257720108513915,0.000920940869409637,"mCAF-remodeling","Macrophages-immunoregulatory",6.37552021241986,0.0277861685138415
"mCAF-remodeling_Endothelial","ADAM12_ITGA9",0.983135278332941,0.200997602407618,0.240563820447605,0.00057445561803493,"mCAF-remodeling","Endothelial",4.89127863495191,0.0189446715042762
"mCAF-classical_pDCs","ADAM12_ITGA9",0.788427279203349,0.117761691597701,0.0784192083243744,0,"mCAF-classical","pDCs",6.69510830310408,0
"mCAF-remodeling_pDCs","ADAM12_ITGA9",0.827756316281658,0.125645906701416,0.123604276412637,6.72260447309725e-09,"mCAF-remodeling","pDCs",6.58800861892568,7.60697038710713e-07
"iCAF-secretory_T-cells-CD8-effector","ADAM12_ITGA9",0.790822440412886,0.11547766875057,0.227418521983452,0.00149088048313029,"iCAF-secretory","T-cells-CD8-effector",6.84827160930181,0.0406759465529515
"mCAF-remodeling_PVL","ADAM12_ITGA9",0.910968032500456,0.194725984320385,0.243037801920721,0.00160416010973341,"mCAF-remodeling","PVL",4.67820478956536,0.0430576032467529
"mCAF-patient4-specific_PVL","ADAM12_ITGA9",0.920553522761435,0.0746353757326018,0.0607391139879391,0,"mCAF-patient4-specific","PVL",12.334010698352,0
"mCAF-remodeling_B-cells-activated","ADAM12_ITGA9",0.827756316281658,0.136547488046324,0.148014137548748,1.50685052557886e-06,"mCAF-remodeling","B-cells-activated",6.06203986704492,0.000109516932962422
"iCAF-secretory_apCAF-classical","ADAM12_ITGA9",0.810665917038014,0.182760258447751,0.178311062009772,0.000214632346656085,"iCAF-secretory","apCAF-classical",4.43567941916526,0.00843184416425991
"apCAF-classical_Cancer-Transitional-pat4","ADAM12_ITGA9",0.568345469141114,0.157360753833306,0.129293159616274,0.000739674761889519,"apCAF-classical","Cancer-Transitional-pat4",3.61173580639535,0.0232850486530022
"mCAF-patient4-specific_Cancer-Transitional-pat4","ADAM12_ITGA9",1.02818976618111,0.055084365514078,0.0835557933362672,0,"mCAF-patient4-specific","Cancer-Transitional-pat4",18.6657276812662,0
"mCAF-remodeling_B/T-mixed-patient4","ADAM12_ITGA9",0.827756316281658,0.141450971951953,0.120285736912805,5.79583725457411e-09,"mCAF-remodeling","B/T-mixed-patient4",5.85189557101681,6.64090170552247e-07
"mCAF-patient4-specific_B/T-mixed-patient4","ADAM12_ITGA9",0.837341806542637,0.178473686495458,0.157663611759787,1.4642996859493e-05,"mCAF-patient4-specific","B/T-mixed-patient4",4.69168213524824,0.000835319076252102
"mCAF-classical_Macrophages-monocyte-derived","ADAM12_ITGA9",0.792574609509685,0.101608530879638,0.156629409891274,5.13353851538945e-06,"mCAF-classical","Macrophages-monocyte-derived",7.8002762430306,0.000328334487631506
"mCAF-classical_Cancer-Basal/Plastic-pat4","ADAM12_ITGA9",0.902928296932872,0.0665995094340277,0.0564673470836039,0,"mCAF-classical","Cancer-Basal/Plastic-pat4",13.5575817991166,0
"mCAF-remodeling_Cancer-Basal/Plastic-pat4","ADAM12_ITGA9",0.942257334011182,0.0850015522098781,0.0969935137875075,0,"mCAF-remodeling","Cancer-Basal/Plastic-pat4",11.0851779704522,0
"Cancer-Basal/Cycl-pat4_mCAF-classical","ADAM12_ITGB1",0.755765038372959,0.187396276685098,0.158232036614727,0.000164077766022896,"Cancer-Basal/Cycl-pat4","mCAF-classical",4.03297787843967,0.00671098235851064
"mCAF-classical_mCAF-classical","ADAM12_ITGB1",1.4974565439163,0.338826762335343,0.355496503764908,0.000558658875683626,"mCAF-classical","mCAF-classical",4.41953443581367,0.0185223103268769
"mCAF-plastic_mCAF-classical","ADAM12_ITGB1",1.09991408388976,0.439212904466125,0.138435542637296,9.09192809595005e-07,"mCAF-plastic","mCAF-classical",2.50428453423228,6.94815742048382e-05
"apCAF-classical_mCAF-classical","ADAM12_ITGB1",1.08652677421559,0.386992441398178,0.230868612097924,0.0012227259379487,"apCAF-classical","mCAF-classical",2.80761756041033,0.034816103922156
"mCAF-patient4-specific_mCAF-classical","ADAM12_ITGB1",1.54637107125559,0.423587416247893,0.316302032482847,0.000192820533664539,"mCAF-patient4-specific","mCAF-classical",3.65065394282304,0.00770453109090481
"mCAF-classical_Myoepithelial","ADAM12_ITGB1",1.04546258558055,0.220672510845494,0.215339362207528,6.40228976099833e-05,"mCAF-classical","Myoepithelial",4.73762038404747,0.00302194862849374
"iCAF-secretory_Myoepithelial","ADAM12_ITGB1",1.01220842410255,0.250755142638066,0.251312320585415,0.00122314007379543,"iCAF-secretory","Myoepithelial",4.03664073826614,0.0348223482650203
"mCAF-classical_Endothelial","ADAM12_ITGB1",1.09585107313283,0.233474584647625,0.265076809926755,0.000570349050728725,"mCAF-classical","Endothelial",4.69366323014026,0.0188368525329519
"mCAF-remodeling_Endothelial","ADAM12_ITGB1",1.13518011021114,0.285748159403894,0.236825700751486,0.000167419655592083,"mCAF-remodeling","Endothelial",3.97265939552948,0.00683263988215898
"iCAF-secretory_pDCs","ADAM12_ITGB1",0.769152763293627,0.10488053126249,0.0776426937454803,0,"iCAF-secretory","pDCs",7.33360857382221,0
"iCAF-classical_mCAF-plastic","ADAM12_ITGB1",0.567292489605672,0.180833104482663,0.123224252287357,0.000855679681731503,"iCAF-classical","mCAF-plastic",3.13710529512067,0.0261418612120501
"mCAF-classical_mCAF-plastic","ADAM12_ITGB1",1.01167274088621,0.239278014356268,0.202273669178745,6.71156833955688e-05,"mCAF-classical","mCAF-plastic",4.22802213403486,0.00314294606765316
"mCAF-classical_Cancer-Transitional-pat4","ADAM12_ITGB1",0.796741529500502,0.141878855528155,0.163683288603922,3.15655118761082e-05,"mCAF-classical","Cancer-Transitional-pat4",5.61564671870641,0.00164303620200125
"mCAF-patient4-specific_mCAF-remodeling","ADAM12_ITGB1",1.31985313640003,0.301209025746258,0.209132842183793,5.55738354890423e-07,"mCAF-patient4-specific","mCAF-remodeling",4.38185121820317,4.45319862634781e-05
